id,article,summary,source_dataset,source_row
1,"Đây là một trong những nội dung tại văn bản vừa được UBND TP Hà Nội ban hành về việc tăng cường công tác quản lý nuôi , giết mổ , kinh doanh và sử dụng thịt chó , mèo trên địa bàn .Theo đó , các sở , ngành trên địa bàn phải vào cuộc ngay để hướng tới thay đổi thói quen của người dân khi dùng chó , mèo làm thực phẩm .Gây phản cảm với du khách , người nước ngoàiCũng trong văn bản này , UBND TP Hà Nội thừa nhận rằng việc kinh doanh , giết mổ và sử dụng thịt chó , mèo tại Hà Nội thời gian qua đã tạo ra những hình ảnh phản cảm đối với khách tham quan du lịch , người nước ngoài đang sinh sống và làm việc tại Hà Nội , gây ảnh hưởng tới hình ảnh của một thủ đô "" văn minh , hiện đại "" .Trong thực tế , theo ghi nhận của Tuổi Trẻ tại phố Tam Trinh , ngay đoạn đầu cầu Mai Động ( quận Hoàng Mai ) , một đoạn phố dài với gần chục cửa hàng buôn bán thịt chó sống , nhà hàng phục vụ các món chế biến từ thịt chó vẫn hoạt động tấp nập nhiều năm nay .Chị Th . , một chủ sạp bán thịt chó sống ở đây , cho hay trong 10 ngày đầu mỗi tháng âm lịch , các cửa hàng vắng vẻ hơn vì thói quen "" kiêng "" ăn thịt chó vào đầu tháng tránh xui xẻo .Riêng những ngày cuối tháng , các cửa hàng ở đây tấp nập người mua bán .Theo chị Th . , trung bình mỗi tháng chị bán được khoảng 3 tạ thịt chó sống .Tương tự , tại phố Nguyễn Khang ( quận Cầu Giấy ) , hàng loạt nhà hàng thịt chó quy mô lớn ( 1-5 tầng ) như Sơn Hải , Chiếu Hoa , Mơ Hoa quán ... luôn tấp nập , mỗi ngày tiếp cả nghìn thực khách .Tuy nhiên , hàng chục quán thịt chó trên đường Âu Cơ ( phường Nhật Tân , quận Tây Hồ ) từng nổi tiếng một thời như Trần Mục , Hồ Kiếm , A Trang , Anh Tú Xịn , Anh Tú Nhà Kính , Anh Tú Nhà Lá ... đã đóng cửa không rõ lý do , chỉ còn duy nhất cửa hàng có tên Anh Tú Béo .Nhiều nguy cơ lây lan dịch bệnhTheo chuyên gia truyền thông Phan Kiền , chó không phải là loài động vật nằm trong danh mục cấm săn bắt , mua bán và giết mổ , thịt chó thương phẩm cũng không phải là mặt hàng thực phẩm cấm lưu hành nên rất khó dùng luật để cấm .Do đó , việc Hà Nội khuyến khích người dân hạn chế , tiến tới không ăn thịt chó là cách làm vừa văn minh vừađúng luật ."" Hoàn toàn có thể thay đổi một thói quen xấu nếu được truyền thông tốt , mà việc bỏ ăn tiết canh là một ví dụ .Trước đây các hàng quán "" lòng lợn , tiết canh "" mọc khắp nơi bởi đây là món khoái khẩu của dân nhậu .Nhưng khi báo chí đưa tin nhiều về các ca nhiễm khuẩn cầu lợn gây tử vong với những triệu chứng khủng khiếp , gần như món ăn này bị tẩy chay , hiện rất ít người dùng món ăn này "" - vị này nói .Trong khi đó , không chỉ những bạn trẻ nuôi chó cảnh làm thú cưng phản đối việc xem chó là một loại thực phẩm , mà ngay cả những người từng xem thịt chó là món "" khoái khẩu "" cũng ủng hộ việc bỏ ăn thịt chó .Dù từng ăn thịt chó , anh Nguyễn Văn Thuận , một nhân viên văn phòng ở quận Thanh Xuân , cũng ủng hộ chủ trương của Hà Nội .Theo anh Thuận , một khi thịt chó còn thịnh hành và có giá trị thương phẩm cao , nạn trộm chó vẫn tồn tại và khó tránh khỏi cảnh người trộm chó bị đánh "" thừa sống thiếu chết "" như đã từng xảy ra .Ngoài ra nguy cơ lây lan dịch bệnh , đặc biệt là bệnh dại , do hoạt động buôn bán và vận chuyển chó sống giữa các địa phương cũng là vấn đề đáng lo ngại .Do đó , muốn hạn chế nạn trộm chó và ngăn ngừa nguy cơ lây lan dịch bệnh , cần khuyến khích không nên ăn thịt chó ."" Thịt chó cũng ngon và lạ miệng nhưng nếu cấm ăn thịt chó , mình thấy cũng không vấn đề gì vì còn rất nhiều loại thực phẩm khác thay thế "" - anh Thuận nói .","Các quận , huyện , thị xã tuyên truyền bằng nhiều hình thức để người dân từ bỏ thói quen ăn thịt chó , mèo nhằm tránh nguy cơ mắc bệnh truyền nhiễm ( bệnh dại , xoắn khuẩn , tả ... ) cũng như không gây ảnh hưởng tới hình ảnh thủ đô văn minh , hiện đại .",vietnews-medical,1
2,"Chiều 12/3 , ông Vũ Hùng Triều , Trưởng phòng Tổ chức hành chính Bệnh viện Đa khoa huyện Đông Hoà ( Phú Yên ) cho biết , bé trai sơ sinh bị bỏ rơi được người dân đưa đến cấp cứu sức khoẻ đã dần ổn định ."" Bệnh viện sẽ tiếp tục theo dõi , điều trị chống nhiễm trùng cho bé và chờ chính quyền làm thủ tục xác định sự việc để làm giấy chứng sinh cho người bảo hộ "" , ông này nói .Bé trai mới sinh nặng 2,7 kg bị bỏ rơi hiện được chăm sóc ở bệnh viện .Trước đó rạng sáng 11/3 , Bệnh viện Đông Hoà tiếp nhận cháu bé từ tay chị Nguyễn Thị Tâm ( 32 tuổi , xã Hoà Hiệp Nam , huyện Đông Hoà ) .Theo chị Tâm , 5h sáng , sau khi ngủ dậy chị mở cửa ra sân thì phát hiện chiếc thùng carton đặt gần mép sân , bên trong có bé trai sơ sinh chưa cắt rốn , cơ thể tím tái , thở yếu , trên người có nhiều vết kiến đốt .Chị Tâm đã hô hoán nhờ nhiều người đến trợ giúp , sau đó gọi y tá đến cắt rốn và chở đến bệnh viện cấp cứu .Nhiều người đến Bệnh viện Đông Hoà chăm bé trai khi chị Tâm không có mặt .Cũng theo người phụ nữ này , 2 ngày qua , hơn 20 cặp vợ chồng tìm đến nhà chị ngỏ ý xin cháu bé về nuôi , nhưng chị không đồng ý .“ Vợ chồng tôi đã có 2 cháu nhưng tôi vẫn muốn nhận bé làm con nuôi vì thấy thương quá ” , chị Tâm nói .Trong sáng 12/3 , đại diện Phòng Lao động Thương binh và Xã hội huyện Đông Hoà đã đến thăm và bước đầu hỗ trợ 300.000 đồng để chị Tâm mua sữa cho bé .Lê Huỳnh","Cháu bé được phát hiện trong tình trạng chưa cắt rốn , thở yếu , trên người có nhiều vết kiến đốt .",vietnews-medical,2
3,"Thoạt đầu nhìn vào bức ảnh , nếu không có dấu khoanh tròn , rất khó nhận ra chú báo tuyết .Bộ lông của báo tuyết giúp chúng ẩn thân trong môi trường sống đặc thù , hình thức nguỵ trang này khiến chúng rất khó bị phát hiện khi săn mồi .Matthias Fiechter , thành viên tổ chức Snow Leopard Trust cho biết bộ lông của loài báo tuyết chính là vũ khí hiệu quả giúp chúng khi săn mồi ."" Nhờ có bộ lông và màu sắc độc đáo , báo tuyết có thể ẩn mình hoàn hảo với môi trường xung quanh , sau đó tấn công con mồi một cách chớp nhoáng "" .Báo tuyết khá nhút nhát và thích cuộc sống đơn độc , thường hoạt động tích cực nhất vào lúc bình minh và hoàng hôn để tuần tra lãnh thổ và săn mồi .Báo tuyết ưa thích sinh sống tại những nơi có địa hình hiểm trở , lạnh lẽo và cằn cỗi trên các dãy núi đá cao trên 1.000 m so với mực nước biển .Trên dãy Himalaya , loài này thường được tìm thấy tại độ cao từ 3.000-5.400 m so với mực nước biển .Phạm vi sinh sống của loài này trải dài trên lãnh thổ 12 quốc gia với gần hai triệu km2 , chủ yếu tại các dãy núi đá của khu vực Trung Á.Báo tuyết có bộ lông dài và dày nhất trong nhóm mèo lớn , cùng một cái đuôi dài và dày không chỉ giúp giữ thăng bằng khi di chuyển trên vách núi mà còn có thể quấn quanh mình để giữ ấm .Con mồi chủ yếu của báo tuyết là các loài động vật cỡ nhỏ và vừa tại từng khu vực sống trong đó bao gồm cừu hoang Himalaya , sơn dương Siberia , cừu Argali , dê , ngựa , lạc đà và một số loài gia súc nhỏ khác .","Báo tuyết ( Panthera uncia ) được mệnh danh là ' bóng ma của núi ' , nổi tiếng nhờ bộ lông tuyệt đẹp và là loài ít được biết đến nhất trong nhóm mèo lớn .",vietnews-medical,3
4,"Khoảng 9h30 sáng 5/6 , anh Đào Nhật Tuấn ( 30 tuổi ) lên khu vực hố Thung , thôn Đại La , xã Hoà Sơn , huyện Hoà Vang ( Đà Nẵng ) để giăng lưới bẫy chim trời .Lực lượng cứu nạn tìm thấy thi thể nạn nhân vào chiều cùng ngày .Thấy con chim mắc bẫy rơi xuống hố nước , anh Tuấn bơi ra bắt .Do hố nước quá sâu nên khi gỡ chim ra khỏi lưới anh bị chết đuối .Một người phụ nữ phát hiện vụ việc đã truy hô người dân đến ứng cứu nhưng không kịp .Thi thể nạn nhân được lực lượng cứu nạn tìm thấy chiều cùng ngày , một tay vẫn đang cầm chặt con chim bị mắc bẫy .Anh Tuấn là con trai một trong gia đình , vợ đang mang thai .Thi thể nạn nhân đã được nhà chức trách bàn giao cho gia đình lo hậu sự .Ngọc Trường","Thấy con chim bị mắc bẫy rơi xuống hồ nước , anh Tuấn bơi ra bắt nhưng bị đuối nước .",vietnews-medical,4
5,"Liên minh Tự do Dân sự Mỹ ( ACLU ) đã nhận được 90 trang tài liệu về chương trình tra tấn CIA , trong đó có nhắc tới loại “ huyết thanh nói thật ” .Ngay sau vụ tấn công khủng bố ngày 11/9/2001 , Cơ quan Tình báo Trung ương Mỹ ( CIA ) đã cân nhắc sử dụng một loại thuốc an thần dùng để điều trị chứng lo âu để làm “ huyết thanh nói thật ” .Loại thuốc này “ gây ra triệu chứng không mong muốn như mất trí nhớ ở cấp độ nhẹ ” , các tài liệu cho biết .Chương trình nghiên cứu thuốc nói trên của CIA - được gọi là “ Dự án trị liệu ” - chỉ là một trong nhiều thông tin được cung cấp từ một tài liệu không được niêm phong để đáp lại vụ kiện của ACLU .Báo cáo tập trung vào các bác sĩ CIA , bao gồm các nhà tâm lý học , trợ lý bác sĩ và y tá trực tiếp tham gia vào chương trình thẩm vấn nâng cao từ 2002 đến 2007 , giám sát 97 tù nhân trong 10 cơ sở tra tấn bí mật .Lý do CIA không bao giờ yêu cầu bộ Tư pháp phê chuẩn sử dụng loại thuốc này như một "" sự tăng cường "" cho các cuộc thẩm vấn là bởi họ "" không muốn nêu thêm một vấn đề khác "" , vì đã chấp thuận các biện pháp như không cho ngủ , giam giữ trong lồng nhỏ và trấn nước .CIA không bình luận về các tài liệu , nhưng "" các luật sư chính phủ "" trích dẫn bởi AP đã làm giảm tầm quan trọng của các tài liệu , lập luận rằng tài liệu chỉ là trình bày của một viên chức tham gia chương trình , chứ không phải đánh giá cuối cùng của CIA .ACLU và CIA đã chiến đấu xoay quanh tài liệu trên trong hai năm .Một thẩm phán liên bang đã ra lệnh cho CIA bỏ niêm phong vào tháng 9/2017 , nhưng Chính phủ đã can thiệp đến 3 lần để ngăn chặn việc tiết lộ và dự kiến sẽ đưa ra một lý lẽ khác cho rằng mệnh lệnh của thẩm phán đã đi quá xa .ACLU đã nhận được phần lớn các tài liệu trong tháng 8 .Một trong những biện pháp tra tấn khác của CIA có trong tài liệu được gọi là "" ném tường "" .Theo đó , một tù nhân sẽ được ném vào tường với một chiếc khăn cuộn quanh cổ để ngăn họ chết vì chấn thương ."" Các bác sĩ của CIA đã mô tả một tù nhân khác - người đã khóc lóc , cầu xin , nôn mửa , và yêu cầu hồi sức y tế sau khi bị trấn nước – là có khả năng kháng nước tuyệt vời ” , báo cáo của ACLU lưu ý .Tuy nhiên , CIA gọi chương trình thẩm vấn nâng cao của mình là “ không gây ra tổn thương lâu dài về thể chất cũng như tinh thần ” .","Loại "" huyết thanh nói thật "" mà CIA sử dụng đến từ một loại thuốc an thần , có thể gây ra triệu chứng không mong muốn như mất trí nhớ .",vietnews-medical,5
6,"Eman Ahmed Abd El Aty , 36 tuổi , sẽ tiếp tục điều trị giảm cân tại Các Tiểu vương quốc Arab thống nhất sau khi rời bệnh viện Saifee tại thành phố Mumbai , Ấn Độ , AFP đưa tin .Trước khi phẫu thuật , Aty nặng khoảng 500 kg .Gia đình cho hay cô đã không thể rời khỏi nhà suốt 25 năm cho đến khi được hỗ trợ di chuyển bằng cần cẩu để lên một chiếc máy bay thuê riêng đến Ấn Độ hồi tháng hai .Hiện cân nặng của Aty là 176,6 kg .Cô sẽ tiếp tục điều trị thêm một năm nữa ở bệnh viện VPS Burjeel tại thủ đô Abu Dhabi ."" Chúng tôi đã dùng một cáng thuỷ lực mang từ Italy sang để hỗ trợ Eman trong suốt quá trình di chuyển .Đội ngũ bác sĩ , hộ lý và y tá cũng sẽ túc trực bên cô ấy "" , Sanet Meyer , giám đốc bệnh viện VPS Burjeel , cho biết .Ở Ấn Độ , trước khi tiến hành phẫu thuật thu nhỏ dạ dày , các bác sĩ đã phải áp dụng chế độ ăn kiêng bằng chất lỏng để Aty giảm bớt cân nặng .Lúc chào đời , cô nặng 5 kg và bị chẩn đoán mắc chứng phù voi .Lên 11 tuổi , Aty tăng cân nhanh chóng và bị đột quỵ khiến cô nằm liệt giường .Tuy nhiên , hồi cuối năm ngoái , bác sĩ Lakdawala cho rằng Aty không phải mắc chứng phù voi mà bị bệnh phù nề bạch huyết liên quan tới béo phì khiến cơ thể bị phình to .An Hồng","Mặc dù đã giảm được hơn 300 kg sau ca phẫu thuật đầu tiên , một phụ nữ Ai Cập , được cho là người nặng nhất thế giới , sẽ tiếp tục điều trị thêm một năm nữa .",vietnews-medical,6
7,"Những ngày qua , muỗi cỏ xuất hiện dày đặc tại TP Bạc Liêu gây đảo lộn đời sống của người dân ."" Muỗi chích ngứa và đau .Chúng tôi lo sợ con cháu mình bị nhiễm bệnh khi bị muỗi tấn công "" , bà Nguyễn Thị Kể lo lắng .Người dân TP Bạc Liêu ung khói đuổi muỗi ngay cả ban ngày .Để tránh muỗi vào nhà , người dân thành phố đã áp dụng nhiều cách như đóng kín các cửa từ rất sớm vào mỗi buổi chiều , dùng nhang trừ muỗi , ung khói từ các loại lá cây vườn , vỏ cam , bưởi … song vẫn không mấy hiệu quả ."" Cách xua muỗi theo dân gian là ung khói nhưng việc này khiến trẻ em rất ngột ngạt và khó chịu , đó là chưa nói đến việc khói bụi bay đầy nhà khi đốt lửa "" , chị Theo chị Huỳnh Thị Hồng Văn nói .Trung tâm y tế dự phòng tỉnh Bạc Liêu cho biết , việc muỗi cỏ xuất hiện dày đặc là do sau mùa thu hoạch lúa , muỗi không còn nơi trú ngụ ."" Muỗi cỏ rất thích ánh sáng đèn nên khi không còn nơi ở chúng bay vào nhà dân "" , bác sĩ nói và cho biết ngành y tế đang lên kế hoạch phun thuốc diệt muỗi trên toàn tỉnh Bạc Liêu .Phúc Hưng","Để tránh muỗi bay dày đặc vào nhà , người dân TP Bạc Liêu phải đốt nhang , ung khói từ vỏ cam , bưởi ... nhưng vẫn không hiệu quả .",vietnews-medical,7
8,"Chiều 15/6 , anh Hoàng Khắc Sửu ( trú ở Cửa Lò , Nghệ An ) - người bị kết luận nhầm nhiễm HIV cho biết , Sở Y tế Nghệ An vừa có buổi đối thoại để tìm hướng giải quyết đơn khiếu nại của anh .Trong đơn , anh Sửu yêu cầu làm rõ trách nhiệm cá nhân , tập thể gây ra việc nhầm lẫn khiến anh mang tiếng hơn 10 năm qua .Hai bên cũng thảo luận việc bồi thường tinh thần và vật chất .Anh Hoàng Khắc Sửu tâm sự sau buổi đối thoại ngày 15/6 .Anh Sửu cho biết , buổi đối thoại đi đến thống nhất việc "" tìm ra cá nhân , tập thể đã trực tiếp gây nhầm lẫn khiến tôi mang tiếng nhiễm HIV hơn 10 năm qua .Tôi mong sớm được trả lại danh dự "" .Chủ trì buổi đối thoại , Chánh thanh tra Sở Y tế Hồ Sơn , cho hay : "" Tất cả ý kiến , yêu cầu của anh Sửu đều được chúng tôi ghi lại cẩn thận .Sở có trách nhiệm xác minh trong thời gian tới "" .Trước đó , ngày 6/5/2015 Tổng cục Thi hành án hình sự và hỗ trợ tư pháp , Bộ Công an nhận được đơn khiếu nại sự việc Trung tâm phòng chống HIV / AIDS tỉnh Nghệ An thông báo anh Sửu bị nhiễm HIV về địa phương .Thông tin không chính xác này khiến danh dự , cuộc sống của anh bị tổn thương hơn 10 năm qua .Thanh tra Tổng cục cảnh sát Thi hành án hình sự và hỗ trợ tư pháp đã chuyển đơn tới Sở Y tế Nghệ An để xem xét giải quyết .Về trách nhiệm liên quan , Sở cho rằng năm 2003 việc lấy mẫu máu xét nghiệm cho các phạm nhân trong trại giam thuộc chương trình giám sát trọng điểm do Ban AIDS quản lý .Năm 2007 , các số liệu của bệnh nhân nhiễm HIV / AIDS được chuyển giao cho Trung tâm phòng chống HIV / AIDS .Sự việc đã xảy ra hơn 10 năm , số cán bộ tham gia trực tiếp lấy mẫu máu xét nghiệm và cán bộ y tế trực tiếp chăm sóc cho các phạm nhân tại trại giam số 3 từ đó đến nay đã nghỉ hưu .Hải Bình",Sở Y tế Nghệ An cho biết đang xác minh người trực tiếp xét nghiệm máu gây ra nhầm lẫn việc anh Hoàng Khắc Sửu nhiễm HIV 13 năm qua .,vietnews-medical,8
9,"Ngày 10/11 , chị Mã Thị Nhình ( xã Cốc Pàng , Bảo Lạc , Cao Bằng ) đi chợ Trung Quốc mua trứng gà .Chiều tối cùng ngày , chị luộc 9 quả để 3 mẹ con ăn , mỗi người ăn 3 quả rồi đi ngủ .Khoảng 5 tiếng sau , mẹ con chị Nhình có biểu hiện đau bụng , chóng mặt , nôn nhiều lần .Nửa đêm , anh Thường , chồng chị Nhình phát hiện liền đưa vợ và 2 con đến Bệnh viện Đa khoa huyện Bảo Lạc ( cách nhà hơn 30 km ) cấp cứu .Sáng 11/11 , chị Nhình tử vong , bé Nga ( 6 tuổi ) và Nhất ( 8 tuổi ) được chuyển lên bệnh viện tỉnh .Sức khoẻ của 2 trẻ trong vụ ngộ đã bình phục và có thể xuất viện .Trao đổi với VnExpress , ông Nguyễn Văn Lê , Giám đốc Sở Y tế Cao Bằng cho biết , đến nay sức khoẻ của hai trẻ đã phục hồi tích cực .Cơ quan công an đã xuống khám nghiệm hiện trường , điều tra nguyên nhân gây ngộ độc ."" Chúng tôi đã lấy mẫu thực phẩm nghi ngờ , chất nôn của bệnh nhân gửi đi xét nghiệm .Ngoài ra , mẫu nước của gia đình cũng được xét nghiệm vì ngoài 3 người ngộ độc thì 3 con vật trong nhà cũng chết "" , ông Lê nói .Cục An toàn thực phẩm ( Bộ Y tế ) đã có công văn yêu cầu Sở Y tế tỉnh điều tra xác định rõ căn nguyên vụ ngộ độc theo quy định ; công khai kết luận điều tra để kịp thời cảnh báo cho cộng đồng .Các đơn vị y tế trên địa bàn phải chuẩn bị sẵn sàng phương tiện , vật tư , hoá chất để kịp thời khắc phục , giảm thiểu ảnh hưởng khi có ngộ độc thực phẩm xảy ra .Trước đó ngày 7/7 , Lào Cai xảy ra vụ ngộ độc rượu tại gia đình ông Lù Lèng Séng 45 tuổi ( thị trấn Mường Khương , huyện Mường Khương ) làm 4 người mắc , một người tử vong .Trung tâm Y tế huyện Mường Khương cho biết , sau khi uống rượu cả 4 người có biểu hiện hoa mắt , chóng mặt , hai mắt díp lại không mở được .Điều tra xác minh bước đầu cho thấy , bệnh nhân ngộ độc và tử vong do uống rượu ngâm rễ cây và căn nguyên là độc tố tự nhiên có trong rễ cây .Phương Trang","Vài tiếng sau khi ăn trứng gà luộc , ba mẹ con chị Nhình có biểu hiện đau bụng , chóng mặt , nôn nhiều lần . Ngành y tế đã lấy mẫu gửi kiểm nghiệm , cơ quan công an cũng vào cuộc điều tra vì 2 con bò và một con mèo trong nhà cũng chết .",vietnews-medical,9
10,"15h ngày 19/2 , trong lúc học kèm tại nhà cô giáo , nhiều học sinh lớp 2 trường Tiểu học Long Bình Tân ( TP Biên Hoà ) có biểu hiện đau bụng , nôn ói .. , liền được giáo viên đưa đến bệnh viện .Học sinh bị ngộ độc đang được điều trị tại bệnh viện .Bác sĩ Trần Thị Mai - Phó giám đốc Bệnh viện ShingMark ( Đồng Nai ) cho biết , có 21 học sinh nhập viện trong tình trạng lờ đờ , trong đó một số em phải thở máy .Đến cuối giờ chiều các học sinh đã ổn định .Ông Võ Văn Minh , Trưởng phòng Giáo dục Biên Hoà cho biết , đơn vị đã cử đoàn xuống bệnh viện thăm hỏi các học sinh ."" Sự việc xảy ra khi các em ăn cơm trưa tại nhà cô giáo .Chúng tôi đã phối hợp cơ quan chức năng giữ lại các mẫu thức ăn để làm rõ nguyên nhân "" , thầy Minh nói .Theo ông Minh , việc đảm bảo an toàn thực phẩm tại trường cũng như ở nhà giáo viên đã được phòng giáo dục nhắc nhở từ đầu năm học .Sau vụ này , đơn vị sẽ tăng cường kiểm tra , có biện pháp để đảm bảo an toàn thực phẩm cho học sinh .Phước Tuấn","Nhiều học sinh lớp 2 có triệu chứng khó thở , nôn ói , lờ đờ ... sau khi ăn cơm tại nhà cô giáo .",vietnews-medical,10
